AGE,INDUS,LSTAT,NOX,RM,MEDV
91.0,18.1,13.27,0.77,6.395,21.7
83.4,18.1,11.48,0.77,6.127,22.7
81.3,18.1,12.67,0.77,6.112,22.6
88.0,18.1,7.79,0.77,6.398,25.0
91.1,18.1,14.19,0.77,6.251,19.9
96.2,18.1,10.19,0.77,5.362,20.8
89.0,18.1,14.64,0.77,5.803,16.8
100.0,18.1,24.56,0.7,5.52,12.3
98.9,18.1,20.85,0.7,5.39,11.5
97.0,18.1,17.11,0.7,5.713,15.1
82.5,18.1,18.76,0.7,6.051,23.2
92.6,18.1,15.17,0.693,6.193,13.8
98.8,18.1,17.12,0.693,6.471,13.1
96.0,18.1,19.37,0.693,6.405,12.5
98.9,18.1,19.92,0.693,5.747,8.5
100.0,18.1,16.59,0.74,6.219,18.4
98.2,18.1,17.73,0.713,6.655,15.2
91.8,18.1,17.27,0.713,6.297,16.1
99.3,18.1,16.74,0.713,7.393,17.8
84.4,18.1,14.7,0.713,6.081,20.0
88.4,18.1,14.65,0.713,6.376,17.7
83.0,18.1,13.99,0.713,6.317,19.5
89.9,18.1,10.29,0.713,6.513,20.2
65.4,18.1,13.22,0.655,6.209,21.4
84.0,18.1,16.29,0.58,6.167,19.9
90.7,18.1,12.87,0.532,6.229,19.6
75.0,18.1,14.36,0.58,6.437,23.2
67.6,18.1,11.66,0.614,6.98,29.8
95.4,18.1,18.14,0.584,5.427,13.8
93.6,18.1,18.68,0.614,6.484,16.7
64.7,18.1,10.74,0.532,6.242,23.0
74.9,18.1,7.74,0.532,6.75,23.7
77.0,18.1,7.01,0.532,7.061,25.0
40.3,18.1,10.42,0.532,5.762,21.8
41.9,18.1,13.34,0.583,5.871,20.6
51.9,18.1,10.58,0.583,6.312,21.2
79.8,18.1,14.98,0.583,6.114,19.1
53.2,18.1,11.45,0.583,5.905,20.6
92.7,27.74,18.06,0.609,5.454,15.2
98.8,27.74,18.07,0.609,5.983,13.6
83.5,27.74,13.35,0.609,5.983,20.1
54.0,9.69,12.01,0.585,5.707,21.8
42.6,9.69,13.59,0.585,5.926,24.5
28.8,9.69,17.6,0.585,5.67,23.1
72.9,9.69,21.14,0.585,5.39,19.7
70.6,9.69,14.1,0.585,5.794,18.3
65.3,9.69,12.92,0.585,6.019,21.2
73.5,9.69,15.1,0.585,5.569,17.5
79.7,9.69,14.33,0.585,6.027,16.8
69.1,11.93,9.67,0.573,6.593,22.4
76.7,11.93,9.08,0.573,6.12,20.6
91.0,11.93,5.64,0.573,6.976,23.9
89.3,11.93,6.48,0.573,6.794,22.0
80.8,11.93,7.88,0.573,6.03,11.9
